ID,Name,Side,Portrait,Text
1,???,Left,Lili_Silhouette,일어나! 제발...눈을 떠!
2,???,Left,Lili_Silhouette,지금 늦장 부릴 때가 아니야!\n어서 일어나!
3,릴리,Left,Lili_Smile,"아참, 내 소개가 늦었네! 난 '릴리'야!"
4,릴리,Left,Lili_Serious,"만나서 반갑다고 하고 싶지만, 지금 이러고 있을 때가 아니야."
5,릴리,Left,Lili_Serious,이곳에 치명적인 바이러스가 침투했어.
6,릴리,Left,Lili_Worried,지금 상황은 최악이야…
7,릴리,Left,Lili_Worried,이 세계의 중심이자 우리 모두의 창조자인 마더가 위험해. 
8,릴리,Left,Lili_Fear,바이러스가 마더의 메인 코어까지 침투하려고 하고 있어.
9,릴리,Left,Lili_Fear,"마더가 완전히 잠식당하면, 이 세계는 붕괴하고 말 거야."
10,릴리,Left,Lili_Plead,"부탁이야, 네 힘이 필요해!"
11,릴리,Left,Lili_Plead,바이러스를 막고 마더를 구할 수 있는 건 이제 너뿐이야!
12,릴리,Left,Lili_Smile,당장 출발하자!\n내가 옆에서 팍팍 서포트할게!
