ID,Name,Side,Portrait,Text
1,유니,Right,Yuni_Smile,A / D : 좌 / 우 이동\nSPACE : 점프
2,유니,Left,Yuni_Smile,마우스 우클릭 : 대쉬
3,유니,Left,Yuni_Smile,벽에 붙은 상태로 점프 시 \n벽점프가 됩니다.
4,유니,Left,Yuni_Smile,마우스 좌클릭 : 훅 발사
5,유니,Left,Yuni_Smile,훅을 건 상태에서\nW / S : 훅 길이 조절
6,유니,Left,Yuni_Smile,적을 대쉬로 관통할 시 적은 [정지] 상태가 됩니다
7,유니,Left,Yuni_Smile,[정지] 상태의 적은 벽으로 판정되며\n[Q]를 눌러 처형할 수 있습니다
8,유니,Left,Yuni_Smile,모든 적을 처치시 문이 열립니다.
9,유니,Left,Yuni_Smile,자폭형 적입니다.\n범위에 들어온 플레이어를 추적하며\n자폭합니다.
10,유니,Left,Yuni_Smile,광선형 적입니다.\n범위에 들어온 플레이어를 조준하며\n레이저를 발사합니다.
11,유니,Left,Yuni_Smile,유도탄형 적입니다.\n범위에 들어온 플레이어를 조준하며\n유도탄을 발사합니다.
12,유니,Left,Yuni_Smile,보호막이 활성화된 유도탄형 적은\n[정지] 상태로 만들 수 없습니다.
13,유니,Left,Yuni_Smile,"유도탄은 [정지] 상태로 만들 수 있으며,\n보호막을 파괴합니다."
